63,Swatch Beach Volleyball Major Series,07.07.15,12.07.15,46.472456,7.28456,http://www.beachworldtour.ch,Gstaad,2
64,Beachvolleyball tournement,08.07.15,12.07.15,47.141687,9.517648,www.beachvolley.li,Vaduz,2
65,Athletissima 2015,09.07.15,09.07.15,46.520014,6.633612,www.athletissima.ch,Lausanne,2
66,Championnats d Europe de Triathlon,09.07.15,12.07.15,46.197179,6.147522,http://www.geneva2015.ch/fr/,Geneve,2
67,Rowing World Cup Lucerne,10.07.15,12.07.15,47.050778,8.306681,www.ruderwelt-luzern.ch,Luzern,2
68,"22em British Classic Car Meeting, St. Moritz",10.07.15,12.07.15,46.494851,9.836819,www.bccm-stmoritz.ch,St. Moritz,2
69,Trail Verbier St-Bernard / 7eme edition !,11.07.15,12.07.15,46.096329,7.228854,http://www.trailvsb.ch,Verbier,2
70,"SlowUp La Gruyere, fete populaire sans trafic motorise",12.07.15,12.07.15,46.582484,7.07393,www.slowup-gruyere.ch,Gruyeres,2
71,Fete des alpages au Rigi,12.07.15,12.07.15,47.05536,8.474519,www.rigi-schwingen.ch,Rigi Staffel,2
72,Course cycliste Sierre-Loye,12.07.15,12.07.15,46.292154,7.534829,www.vc-eclair.ch,Sierre,2
73,10. Engadin Radmarathon,12.07.15,12.07.15,46.696718,10.08982,www.radmarathon.com,Zernez,2
74,Athletisme de haut niveau,14.07.15,14.07.15,47.050778,8.306681,www.spitzenleichtathletik.ch,Luzern,2
75,32eme Tour des Alpages,18.07.15,18.07.15,46.295439,7.394986,www.tourdesalpages.ch,Anzere,2
77,IRONMAN / Triathlon extreme,18.07.15,19.07.15,47.370712,8.538775,www.ironman.ch,Zurich,2
78,Festival international d echecs de Bienne,18.07.15,31.07.15,47.139589,7.24303,www.bielchessfestival.ch,Biel / Bienne,2
79,2. Eiger Ultra Trail / plus dur que la face nord de l Eiger,19.07.15,19.07.15,46.624863,8.029789,www.eigerultratrail.ch,Grindelwald,2
81,Rassemblement de motos,24.07.15,26.07.15,46.260546,7.463253,http://www.condroz- pigs.ch/_index.php?lng=FR&soc=0&bo dy=1&news=-1&nbnews=0&expo=-1&nbExpo=0&actu=-1&nbActu=0,Granges VS,2
82,Stockhorn demi-marathon,25.07.15,25.07.15,46.661715,7.547857,www.stockhorn-halbmarathon.ch,Erlenbach im Simmental,2
83,Mountainman / Alpine Trail Running,25.07.15,25.07.15,46.748405,8.195836,www.themountainman.ch,Hasliberg Wasserwendi,2
84,Matterhorn Eagle Cup,25.07.15,25.07.15,46.018248,7.746751,http://www.matterhorn- eaglecup.ch/anmeldung/infos-turnier/,Zermatt,2
85,Course de Cote,25.07.15,26.07.15,46.295439,7.394986,www.anzere.ch,Anzere,2
86,Benichon de la Saint-Jacques et rencontre folklorique,25.07.15,26.07.15,46.612058,7.275789,www.jaun.ch,Jaun,2
87,Swiss Open Gstaad,25.07.15,02.08.15,46.472456,7.28456,http://www.swissopengstaad.ch,Gstaad,2
88,Fete alpestre de lutte suisse,26.07.15,26.07.15,46.521936,6.947896,www.veveyse-lutte.ch,Les Paccots,2
89,Traversee du Lac,26.07.15,26.07.15,46.924459,7.107055,www.sauvetagevully.ch,Meyriez,2
90,Traversee du lac de Morat,26.07.15,26.07.15,46.929947,7.121459,www.sauvetagevully.ch,Murten,2
92,Demi-marathon des Alpes,01.08.15,01.08.15,46.320823,6.963444,www.eslleysin.ch,Aigle,2
93,Course a pied Aigle-Leysin,01.08.15,01.08.15,46.34272,7.010512,www.aigleleysin.ch,Leysin,2
94,Beachmania,05.08.15,09.08.15,47.139589,7.24303,http://www.beachmania.ch,Biel / Bienne,2
95,"Marche-Concours National de chevaux, Saignelegier",07.08.15,09.08.15,47.257214,7.000414,www.marcheconcours.ch,Saignelegier,2
96,Concours hippique Zuoz,07.08.15,09.08.15,46.602817,9.956952,www.concours-zuoz.ch,Zuoz,2
97,Aigle Beach,07.08.15,23.08.15,46.320823,6.963444,www.facebook.com/AiglePlage,Aigle,2
98,8. Glacier 3000 Run,08.08.15,08.08.15,46.472456,7.28456,http://www.glacier3000run.ch,Gstaad,2
99,Glacier Run,08.08.15,08.08.15,46.351129,7.155109,http://www.glacier3000run.ch/,Les Diablerets,2
100,Triathlon de Nyon,08.08.15,09.08.15,46.383239,6.233879,www.trinyon.ch,Nyon,2
101,"Sierre-Zinal, course pedestre internationale",09.08.15,09.08.15,46.292154,7.534829,www.sierre-zinal.com,Sierre,2
102,Course Sierre-Zinal,09.08.15,09.08.15,46.134879,7.617096,www.sierre-zinal.com,Zinal,2
103,20eme edition Hockeyades,11.08.15,14.08.15,46.607912,6.231566,www.hockeyades.ch,Le Sentier,2
104,Engadinwind 2015,11.08.15,16.08.15,46.459772,9.794531,www.silvaplana.ch/tourismus-events/,Silvaplana,2
105,Hublot Polo Gold Cup Gstaad,13.08.15,16.08.15,46.491004,7.268092,http://www.polo-gstaad.ch,Saanen,2
106,Boardstock / Zug Sports Festival,14.08.15,14.08.15,47.174745,8.51383,www.boardstock.ch,Zug,2
107,Supertrail du Barlatay,14.08.15,15.08.15,46.427457,7.146573,www.barlatay.ch,L Etivaz,2
108,Supertrail du Barlatay,14.08.15,15.08.15,46.351129,7.155109,http://barlatay.ch/,Les Diablerets,2
109,Schwing- und alplerfest auf Melchsee-Frutt,15.08.15,15.08.15,46.77407,8.268359,www.melchsee-frutt.ch,Melchsee-Frutt,2
111,"Course de cote internationale, St-Ursanne / Les Rangiers",15.08.15,16.08.15,47.364542,7.159573,http://www.rangiers.ch/,St-Ursanne,2
112,La course Bruggelauf baloise,16.08.15,16.08.15,47.567126,7.599953,http://www.baslerbruggelauf.ch,Basel,2
113,Baignade officiel dans le Rhin a Bale,18.08.15,18.08.15,47.567126,7.599953,http://www.slrg.ch/de/nw/sektionen/bas el/rheinschwimmen/basler- rheinschwimmen.html,Basel,2
